OMRKK;TID;INDHOLD
Bydel - Indre By;2011K4;49585
Bydel - Indre By;2012K1;49741
Bydel - Indre By;2012K2;49979
Bydel - Indre By;2012K3;49862
Bydel - Indre By;2012K4;50562
Bydel - Indre By;2013K1;50554
Bydel - Indre By;2013K2;50906
Bydel - Indre By;2013K3;50608
Bydel - Indre By;2013K4;51366
Bydel - Indre By;2014K1;51424
Bydel - Indre By;2014K2;51492
Bydel - Indre By;2014K3;51215
Bydel - Indre By;2014K4;51950
Bydel - Indre By;2015K1;51937
Bydel - Indre By;2015K2;52540
Bydel - Indre By;2015K3;52637
Bydel - Indre By;2015K4;53488
Bydel - Indre By;2016K1;53596
Bydel - Indre By;2016K2;54061
Bydel - Indre By;2016K3;53779
Bydel - Indre By;2016K4;55089
Bydel - Indre By;2017K1;54922
Bydel - Indre By;2017K2;55298
Bydel - Indre By;2017K3;54849
Bydel - Indre By;2017K4;55566
Bydel - Indre By;2018K1;55493
Bydel - Indre By;2018K2;55823
Bydel - Indre By;2018K3;55397
Bydel - Indre By;2018K4;56350
Bydel - Indre By;2019K1;56184
Bydel - Indre By;2019K2;56683
Bydel - Indre By;2019K3;56180
Bydel - Indre By;2019K4;56733
Bydel - Indre By;2020K1;55866
Bydel - Indre By;2020K2;55947
Bydel - Indre By;2020K3;55762
Bydel - Indre By;2020K4;56419
Bydel - Indre By;2021K1;56299
Bydel - Indre By;2021K2;56253
Bydel - Indre By;2021K3;56104
Bydel - Indre By;2021K4;56413
Bydel - Indre By;2022K1;56233
Bydel - Indre By;2022K2;56601
Bydel - Indre By;2022K3;56338
Bydel - Indre By;2022K4;56813
Bydel - Indre By;2023K1;56446
Bydel - Indre By;2023K2;56838
Bydel - Indre By;2023K3;56395
Bydel - Indre By;2023K4;57153
Bydel - Indre By;2024K1;56668
Bydel - Indre By;2024K2;57348
Bydel - Indre By;2024K3;56935
Bydel - Indre By;2024K4;57756
Bydel - Indre By;2025K1;57429
Bydel - Østerbro;1974K1;74953
Bydel - Østerbro;1975K1;73153
Bydel - Østerbro;1976K1;71577
Bydel - Østerbro;1977K1;69365
Bydel - Østerbro;1978K1;67546
Bydel - Østerbro;1979K1;66492
Bydel - Østerbro;1980K1;64934
Bydel - Østerbro;1981K1;64731
Bydel - Østerbro;1982K1;64889
Bydel - Østerbro;1983K1;64407
Bydel - Østerbro;1984K1;64142
Bydel - Østerbro;1985K1;63355
Bydel - Østerbro;1986K1;62646
Bydel - Østerbro;1987K1;62287
Bydel - Østerbro;1988K1;62034
Bydel - Østerbro;1989K1;61893
Bydel - Østerbro;1990K1;61718
Bydel - Østerbro;1991K1;62452
