OMRKK;ALDER;TID;INDHOLD
Indre By - Middelalderbyen;0-4 år;1995;181
Indre By - Middelalderbyen;0-4 år;1996;183
Indre By - Middelalderbyen;0-4 år;1997;208
Indre By - Middelalderbyen;0-4 år;1998;208
Indre By - Middelalderbyen;0-4 år;1999;213
Indre By - Middelalderbyen;0-4 år;2000;243
Indre By - Middelalderbyen;0-4 år;2001;231
Indre By - Middelalderbyen;0-4 år;2002;214
Indre By - Middelalderbyen;0-4 år;2003;233
Indre By - Middelalderbyen;0-4 år;2004;244
Indre By - Middelalderbyen;0-4 år;2005;236
Indre By - Middelalderbyen;0-4 år;2006;241
Indre By - Middelalderbyen;0-4 år;2007;249
Indre By - Middelalderbyen;0-4 år;2008;260
Indre By - Middelalderbyen;0-4 år;2009;272
Indre By - Middelalderbyen;0-4 år;2010;268
Indre By - Middelalderbyen;0-4 år;2011;287
Indre By - Middelalderbyen;0-4 år;2012;292
Indre By - Middelalderbyen;0-4 år;2013;297
Indre By - Middelalderbyen;0-4 år;2014;316
Indre By - Middelalderbyen;0-4 år;2015;287
Indre By - Middelalderbyen;0-4 år;2016;294
Indre By - Middelalderbyen;0-4 år;2017;313
Indre By - Middelalderbyen;0-4 år;2018;317
Indre By - Middelalderbyen;0-4 år;2019;316
Indre By - Middelalderbyen;0-4 år;2020;299
Indre By - Middelalderbyen;0-4 år;2021;298
Indre By - Middelalderbyen;0-4 år;2022;276
Indre By - Middelalderbyen;0-4 år;2023;281
Indre By - Middelalderbyen;0-4 år;2024;257
Indre By - Middelalderbyen;0-4 år;2025;241
Indre By - Metropolzonen;0-4 år;1977;62
Indre By - Metropolzonen;0-4 år;1978;55
Indre By - Metropolzonen;0-4 år;1979;54
Indre By - Metropolzonen;0-4 år;1980;43
Indre By - Metropolzonen;0-4 år;1981;36
Indre By - Metropolzonen;0-4 år;1982;33
Indre By - Metropolzonen;0-4 år;1983;31
Indre By - Metropolzonen;0-4 år;1984;31
Indre By - Metropolzonen;0-4 år;1985;36
Indre By - Metropolzonen;0-4 år;1986;39
Indre By - Metropolzonen;0-4 år;1987;45
Indre By - Metropolzonen;0-4 år;1988;47
Indre By - Metropolzonen;0-4 år;1989;53
Indre By - Metropolzonen;0-4 år;1990;46
Indre By - Metropolzonen;0-4 år;1991;53
Indre By - Metropolzonen;0-4 år;1992;48
Indre By - Metropolzonen;0-4 år;1993;45
Indre By - Metropolzonen;0-4 år;1994;38
Indre By - Metropolzonen;0-4 år;1995;40
Indre By - Metropolzonen;0-4 år;1996;42
Indre By - Metropolzonen;0-4 år;1997;45
Indre By - Metropolzonen;0-4 år;1998;55
Indre By - Metropolzonen;0-4 år;1999;61
Indre By - Metropolzonen;0-4 år;2000;64
Indre By - Metropolzonen;0-4 år;2001;62
Indre By - Metropolzonen;0-4 år;2002;78
Indre By - Metropolzonen;0-4 år;2003;82
Indre By - Metropolzonen;0-4 år;2004;85
Indre By - Metropolzonen;0-4 år;2005;64
Indre By - Metropolzonen;0-4 år;2006;86
Indre By - Metropolzonen;0-4 år;2007;85
Indre By - Metropolzonen;0-4 år;2008;107
Indre By - Metropolzonen;0-4 år;2009;105
Indre By - Metropolzonen;0-4 år;2010;106
Indre By - Metropolzonen;0-4 år;2011;101
Indre By - Metropolzonen;0-4 år;2012;108
Indre By - Metropolzonen;0-4 år;2013;100
Indre By - Metropolzonen;0-4 år;2014;109
Indre By - Metropolzonen;0-4 år;2015;125
Indre By - Metropolzonen;0-4 år;2016;124
Indre By - Metropolzonen;0-4 år;2017;136
Indre By - Metropolzonen;0-4 år;2018;132
Indre By - Metropolzonen;0-4 år;2019;137
Indre By - Metropolzonen;0-4 år;2020;135
Indre By - Metropolzonen;0-4 år;2021;124
Indre By - Metropolzonen;0-4 år;2022;111
Indre By - Metropolzonen;0-4 år;2023;113
Indre By - Metropolzonen;0-4 år;2024;112
Indre By - Metropolzonen;0-4 år;2025;106
Indre By - Nansensgade-kvarteret;0-4 år;1977;396
Indre By - Nansensgade-kvarteret;0-4 år;1978;336
Indre By - Nansensgade-kvarteret;0-4 år;1979;290
Indre By - Nansensgade-kvarteret;0-4 år;1980;264
Indre By - Nansensgade-kvarteret;0-4 år;1981;256
Indre By - Nansensgade-kvarteret;0-4 år;1982;228
Indre By - Nansensgade-kvarteret;0-4 år;1983;220
Indre By - Nansensgade-kvarteret;0-4 år;1984;211
Indre By - Nansensgade-kvarteret;0-4 år;1985;212
Indre By - Nansensgade-kvarteret;0-4 år;1986;207
Indre By - Nansensgade-kvarteret;0-4 år;1987;211
Indre By - Nansensgade-kvarteret;0-4 år;1988;206
Indre By - Nansensgade-kvarteret;0-4 år;1989;204
Indre By - Nansensgade-kvarteret;0-4 år;1990;215
Indre By - Nansensgade-kvarteret;0-4 år;1991;233
Indre By - Nansensgade-kvarteret;0-4 år;1992;235
Indre By - Nansensgade-kvarteret;0-4 år;1993;231
Indre By - Nansensgade-kvarteret;0-4 år;1994;230
Indre By - Nansensgade-kvarteret;0-4 år;1995;263
Indre By - Nansensgade-kvarteret;0-4 år;1996;272
Indre By - Nansensgade-kvarteret;0-4 år;1997;284
Indre By - Nansensgade-kvarteret;0-4 år;1998;309
Indre By - Nansensgade-kvarteret;0-4 år;1999;327
Indre By - Nansensgade-kvarteret;0-4 år;2000;341
Indre By - Nansensgade-kvarteret;0-4 år;2001;353
Indre By - Nansensgade-kvarteret;0-4 år;2002;382
Indre By - Nansensgade-kvarteret;0-4 år;2003;416
Indre By - Nansensgade-kvarteret;0-4 år;2004;396
Indre By - Nansensgade-kvarteret;0-4 år;2005;419
Indre By - Nansensgade-kvarteret;0-4 år;2006;398
Indre By - Nansensgade-kvarteret;0-4 år;2007;412
Indre By - Nansensgade-kvarteret;0-4 år;2008;379
Indre By - Nansensgade-kvarteret;0-4 år;2009;383
Indre By - Nansensgade-kvarteret;0-4 år;2010;412
Indre By - Nansensgade-kvarteret;0-4 år;2011;393
Indre By - Nansensgade-kvarteret;0-4 år;2012;383
Indre By - Nansensgade-kvarteret;0-4 år;2013;407
Indre By - Nansensgade-kvarteret;0-4 år;2014;397
Indre By - Nansensgade-kvarteret;0-4 år;2015;410
Indre By - Nansensgade-kvarteret;0-4 år;2016;422
Indre By - Nansensgade-kvarteret;0-4 år;2017;408
Indre By - Nansensgade-kvarteret;0-4 år;2018;399
Indre By - Nansensgade-kvarteret;0-4 år;2019;415
Indre By - Nansensgade-kvarteret;0-4 år;2020;405
Indre By - Nansensgade-kvarteret;0-4 år;2021;355
Indre By - Nansensgade-kvarteret;0-4 år;2022;308
Indre By - Nansensgade-kvarteret;0-4 år;2023;292
Indre By - Nansensgade-kvarteret;0-4 år;2024;290
Indre By - Nansensgade-kvarteret;0-4 år;2025;316
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1977;450
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1978;386
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1979;358
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1980;352
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1981;323
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1982;332
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1983;321
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1984;315
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1985;303
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1986;298
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1987;272
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1988;276
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1989;324
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1990;322
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1991;340
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1992;336
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1993;328
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1994;324
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1995;342
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1996;370
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1997;382
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1998;369
Indre By - Øster Farimagsgade-kvarteret;0-4 år;1999;409
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2000;432
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2001;415
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2002;459
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2003;454
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2004;442
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2005;452
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2006;449
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2007;451
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2008;470
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2009;465
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2010;467
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2011;475
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2012;468
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2013;506
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2014;483
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2015;439
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2016;438
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2017;427
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2018;406
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2019;391
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2020;399
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2021;353
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2022;360
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2023;344
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2024;325
Indre By - Øster Farimagsgade-kvarteret;0-4 år;2025;339
Indre By - Østerport;0-4 år;1977;137
Indre By - Østerport;0-4 år;1978;134
Indre By - Østerport;0-4 år;1979;130
Indre By - Østerport;0-4 år;1980;118
Indre By - Østerport;0-4 år;1981;124
Indre By - Østerport;0-4 år;1982;123
Indre By - Østerport;0-4 år;1983;124
Indre By - Østerport;0-4 år;1984;131
Indre By - Østerport;0-4 år;1985;121
Indre By - Østerport;0-4 år;1986;118
Indre By - Østerport;0-4 år;1987;143
Indre By - Østerport;0-4 år;1988;140
Indre By - Østerport;0-4 år;1989;152
Indre By - Østerport;0-4 år;1990;154
Indre By - Østerport;0-4 år;1991;145
Indre By - Østerport;0-4 år;1992;165
Indre By - Østerport;0-4 år;1993;174
Indre By - Østerport;0-4 år;1994;196
Indre By - Østerport;0-4 år;1995;191
Indre By - Østerport;0-4 år;1996;193
Indre By - Østerport;0-4 år;1997;223
Indre By - Østerport;0-4 år;1998;211
Indre By - Østerport;0-4 år;1999;232
Indre By - Østerport;0-4 år;2000;252
Indre By - Østerport;0-4 år;2001;262
Indre By - Østerport;0-4 år;2002;235
Indre By - Østerport;0-4 år;2003;233
Indre By - Østerport;0-4 år;2004;235
Indre By - Østerport;0-4 år;2005;235
Indre By - Østerport;0-4 år;2006;247
Indre By - Østerport;0-4 år;2007;248
Indre By - Østerport;0-4 år;2008;255
Indre By - Østerport;0-4 år;2009;240
Indre By - Østerport;0-4 år;2010;235
Indre By - Østerport;0-4 år;2011;279
Indre By - Østerport;0-4 år;2012;277
Indre By - Østerport;0-4 år;2013;259
Indre By - Østerport;0-4 år;2014;279
Indre By - Østerport;0-4 år;2015;261
Indre By - Østerport;0-4 år;2016;237
Indre By - Østerport;0-4 år;2017;234
Indre By - Østerport;0-4 år;2018;207
Indre By - Østerport;0-4 år;2019;203
Indre By - Østerport;0-4 år;2020;199
Indre By - Østerport;0-4 år;2021;194
Indre By - Østerport;0-4 år;2022;202
Indre By - Østerport;0-4 år;2023;195
Indre By - Østerport;0-4 år;2024;201
Indre By - Østerport;0-4 år;2025;209
Indre By - Frederiksstaden;0-4 år;1977;420
Indre By - Frederiksstaden;0-4 år;1978;391
Indre By - Frederiksstaden;0-4 år;1979;365
Indre By - Frederiksstaden;0-4 år;1980;350
Indre By - Frederiksstaden;0-4 år;1981;316
Indre By - Frederiksstaden;0-4 år;1982;316
Indre By - Frederiksstaden;0-4 år;1983;307
Indre By - Frederiksstaden;0-4 år;1984;298
Indre By - Frederiksstaden;0-4 år;1985;273
Indre By - Frederiksstaden;0-4 år;1986;283
Indre By - Frederiksstaden;0-4 år;1987;263
Indre By - Frederiksstaden;0-4 år;1988;245
Indre By - Frederiksstaden;0-4 år;1989;244
Indre By - Frederiksstaden;0-4 år;1990;275
Indre By - Frederiksstaden;0-4 år;1991;280
Indre By - Frederiksstaden;0-4 år;1992;319
Indre By - Frederiksstaden;0-4 år;1993;327
Indre By - Frederiksstaden;0-4 år;1994;346
Indre By - Frederiksstaden;0-4 år;1995;367
Indre By - Frederiksstaden;0-4 år;1996;359
Indre By - Frederiksstaden;0-4 år;1997;391
Indre By - Frederiksstaden;0-4 år;1998;391
Indre By - Frederiksstaden;0-4 år;1999;375
Indre By - Frederiksstaden;0-4 år;2000;390
Indre By - Frederiksstaden;0-4 år;2001;421
Indre By - Frederiksstaden;0-4 år;2002;405
Indre By - Frederiksstaden;0-4 år;2003;404
Indre By - Frederiksstaden;0-4 år;2004;395
Indre By - Frederiksstaden;0-4 år;2005;384
Indre By - Frederiksstaden;0-4 år;2006;402
Indre By - Frederiksstaden;0-4 år;2007;424
Indre By - Frederiksstaden;0-4 år;2008;423
Indre By - Frederiksstaden;0-4 år;2009;415
Indre By - Frederiksstaden;0-4 år;2010;421
Indre By - Frederiksstaden;0-4 år;2011;397
Indre By - Frederiksstaden;0-4 år;2012;417
Indre By - Frederiksstaden;0-4 år;2013;410
Indre By - Frederiksstaden;0-4 år;2014;383
Indre By - Frederiksstaden;0-4 år;2015;383
Indre By - Frederiksstaden;0-4 år;2016;369
Indre By - Frederiksstaden;0-4 år;2017;377
Indre By - Frederiksstaden;0-4 år;2018;402
Indre By - Frederiksstaden;0-4 år;2019;412
Indre By - Frederiksstaden;0-4 år;2020;432
Indre By - Frederiksstaden;0-4 år;2021;470
Indre By - Frederiksstaden;0-4 år;2022;433
Indre By - Frederiksstaden;0-4 år;2023;394
Indre By - Frederiksstaden;0-4 år;2024;401
Indre By - Frederiksstaden;0-4 år;2025;419
Indre By - Gammelholm og Nyhavn;0-4 år;1977;153
Indre By - Gammelholm og Nyhavn;0-4 år;1978;132
Indre By - Gammelholm og Nyhavn;0-4 år;1979;107
Indre By - Gammelholm og Nyhavn;0-4 år;1980;119
Indre By - Gammelholm og Nyhavn;0-4 år;1981;127
Indre By - Gammelholm og Nyhavn;0-4 år;1982;122
Indre By - Gammelholm og Nyhavn;0-4 år;1983;109
Indre By - Gammelholm og Nyhavn;0-4 år;1984;108
Indre By - Gammelholm og Nyhavn;0-4 år;1985;115
Indre By - Gammelholm og Nyhavn;0-4 år;1986;110
Indre By - Gammelholm og Nyhavn;0-4 år;1987;100
Indre By - Gammelholm og Nyhavn;0-4 år;1988;103
Indre By - Gammelholm og Nyhavn;0-4 år;1989;103
Indre By - Gammelholm og Nyhavn;0-4 år;1990;101
Indre By - Gammelholm og Nyhavn;0-4 år;1991;100
Indre By - Gammelholm og Nyhavn;0-4 år;1992;99
Indre By - Gammelholm og Nyhavn;0-4 år;1993;96
Indre By - Gammelholm og Nyhavn;0-4 år;1994;108
Indre By - Gammelholm og Nyhavn;0-4 år;1995;108
Indre By - Gammelholm og Nyhavn;0-4 år;1996;136
Indre By - Gammelholm og Nyhavn;0-4 år;1997;143
Indre By - Gammelholm og Nyhavn;0-4 år;1998;148
Indre By - Gammelholm og Nyhavn;0-4 år;1999;167
Indre By - Gammelholm og Nyhavn;0-4 år;2000;177
Indre By - Gammelholm og Nyhavn;0-4 år;2001;182
Indre By - Gammelholm og Nyhavn;0-4 år;2002;182
Indre By - Gammelholm og Nyhavn;0-4 år;2003;161
Indre By - Gammelholm og Nyhavn;0-4 år;2004;150
Indre By - Gammelholm og Nyhavn;0-4 år;2005;145
Indre By - Gammelholm og Nyhavn;0-4 år;2006;139
Indre By - Gammelholm og Nyhavn;0-4 år;2007;145
Indre By - Gammelholm og Nyhavn;0-4 år;2008;167
Indre By - Gammelholm og Nyhavn;0-4 år;2009;164
Indre By - Gammelholm og Nyhavn;0-4 år;2010;170
Indre By - Gammelholm og Nyhavn;0-4 år;2011;156
Indre By - Gammelholm og Nyhavn;0-4 år;2012;160
Indre By - Gammelholm og Nyhavn;0-4 år;2013;149
Indre By - Gammelholm og Nyhavn;0-4 år;2014;148
Indre By - Gammelholm og Nyhavn;0-4 år;2015;159
Indre By - Gammelholm og Nyhavn;0-4 år;2016;143
Indre By - Gammelholm og Nyhavn;0-4 år;2017;146
Indre By - Gammelholm og Nyhavn;0-4 år;2018;148
Indre By - Gammelholm og Nyhavn;0-4 år;2019;149
Indre By - Gammelholm og Nyhavn;0-4 år;2020;141
Indre By - Gammelholm og Nyhavn;0-4 år;2021;139
Indre By - Gammelholm og Nyhavn;0-4 år;2022;127
Indre By - Gammelholm og Nyhavn;0-4 år;2023;134
Indre By - Gammelholm og Nyhavn;0-4 år;2024;123
Indre By - Gammelholm og Nyhavn;0-4 år;2025;146
Christianshavn - Neden Vandet;0-4 år;1977;64
Christianshavn - Neden Vandet;0-4 år;1978;67
Christianshavn - Neden Vandet;0-4 år;1979;85
Christianshavn - Neden Vandet;0-4 år;1980;95
Christianshavn - Neden Vandet;0-4 år;1981;90
Christianshavn - Neden Vandet;0-4 år;1982;78
Christianshavn - Neden Vandet;0-4 år;1983;73
Christianshavn - Neden Vandet;0-4 år;1984;60
Christianshavn - Neden Vandet;0-4 år;1985;66
Christianshavn - Neden Vandet;0-4 år;1986;78
Christianshavn - Neden Vandet;0-4 år;1987;80
Christianshavn - Neden Vandet;0-4 år;1988;87
Christianshavn - Neden Vandet;0-4 år;1989;89
Christianshavn - Neden Vandet;0-4 år;1990;104
Christianshavn - Neden Vandet;0-4 år;1991;104
Christianshavn - Neden Vandet;0-4 år;1992;120
Christianshavn - Neden Vandet;0-4 år;1993;113
Christianshavn - Neden Vandet;0-4 år;1994;127
Christianshavn - Neden Vandet;0-4 år;1995;115
Christianshavn - Neden Vandet;0-4 år;1996;99
Christianshavn - Neden Vandet;0-4 år;1997;115
Christianshavn - Neden Vandet;0-4 år;1998;121
Christianshavn - Neden Vandet;0-4 år;1999;143
Christianshavn - Neden Vandet;0-4 år;2000;126
Christianshavn - Neden Vandet;0-4 år;2001;140
Christianshavn - Neden Vandet;0-4 år;2002;150
Christianshavn - Neden Vandet;0-4 år;2003;150
Christianshavn - Neden Vandet;0-4 år;2004;156
Christianshavn - Neden Vandet;0-4 år;2005;163
Christianshavn - Neden Vandet;0-4 år;2006;138
Christianshavn - Neden Vandet;0-4 år;2007;126
Christianshavn - Neden Vandet;0-4 år;2008;136
Christianshavn - Neden Vandet;0-4 år;2009;150
Christianshavn - Neden Vandet;0-4 år;2010;153
Christianshavn - Neden Vandet;0-4 år;2011;176
Christianshavn - Neden Vandet;0-4 år;2012;192
Christianshavn - Neden Vandet;0-4 år;2013;197
Christianshavn - Neden Vandet;0-4 år;2014;191
Christianshavn - Neden Vandet;0-4 år;2015;189
Christianshavn - Neden Vandet;0-4 år;2016;162
Christianshavn - Neden Vandet;0-4 år;2017;177
Christianshavn - Neden Vandet;0-4 år;2018;157
Christianshavn - Neden Vandet;0-4 år;2019;143
Christianshavn - Neden Vandet;0-4 år;2020;131
Christianshavn - Neden Vandet;0-4 år;2021;128
Christianshavn - Neden Vandet;0-4 år;2022;127
Christianshavn - Neden Vandet;0-4 år;2023;129
Christianshavn - Neden Vandet;0-4 år;2024;143
Christianshavn - Neden Vandet;0-4 år;2025;156
Christianshavn - Oven Vandet;0-4 år;1977;286
Christianshavn - Oven Vandet;0-4 år;1978;309
Christianshavn - Oven Vandet;0-4 år;1979;295
Christianshavn - Oven Vandet;0-4 år;1980;288
Christianshavn - Oven Vandet;0-4 år;1981;280
Christianshavn - Oven Vandet;0-4 år;1982;299
Christianshavn - Oven Vandet;0-4 år;1983;278
Christianshavn - Oven Vandet;0-4 år;1984;274
Christianshavn - Oven Vandet;0-4 år;1985;281
Christianshavn - Oven Vandet;0-4 år;1986;258
Christianshavn - Oven Vandet;0-4 år;1987;263
Christianshavn - Oven Vandet;0-4 år;1988;268
Christianshavn - Oven Vandet;0-4 år;1989;278
Christianshavn - Oven Vandet;0-4 år;1990;314
Christianshavn - Oven Vandet;0-4 år;1991;311
Christianshavn - Oven Vandet;0-4 år;1992;296
Christianshavn - Oven Vandet;0-4 år;1993;339
Christianshavn - Oven Vandet;0-4 år;1994;331
Christianshavn - Oven Vandet;0-4 år;1995;342
Christianshavn - Oven Vandet;0-4 år;1996;354
Christianshavn - Oven Vandet;0-4 år;1997;363
Christianshavn - Oven Vandet;0-4 år;1998;358
Christianshavn - Oven Vandet;0-4 år;1999;342
Christianshavn - Oven Vandet;0-4 år;2000;350
Christianshavn - Oven Vandet;0-4 år;2001;378
Christianshavn - Oven Vandet;0-4 år;2002;363
Christianshavn - Oven Vandet;0-4 år;2003;372
Christianshavn - Oven Vandet;0-4 år;2004;377
Christianshavn - Oven Vandet;0-4 år;2005;378
Christianshavn - Oven Vandet;0-4 år;2006;341
Christianshavn - Oven Vandet;0-4 år;2007;309
Christianshavn - Oven Vandet;0-4 år;2008;301
Christianshavn - Oven Vandet;0-4 år;2009;315
Christianshavn - Oven Vandet;0-4 år;2010;336
Christianshavn - Oven Vandet;0-4 år;2011;331
Christianshavn - Oven Vandet;0-4 år;2012;322
Christianshavn - Oven Vandet;0-4 år;2013;324
Christianshavn - Oven Vandet;0-4 år;2014;322
Christianshavn - Oven Vandet;0-4 år;2015;316
Christianshavn - Oven Vandet;0-4 år;2016;310
Christianshavn - Oven Vandet;0-4 år;2017;347
Christianshavn - Oven Vandet;0-4 år;2018;342
Christianshavn - Oven Vandet;0-4 år;2019;348
Christianshavn - Oven Vandet;0-4 år;2020;323
Christianshavn - Oven Vandet;0-4 år;2021;319
Christianshavn - Oven Vandet;0-4 år;2022;293
Christianshavn - Oven Vandet;0-4 år;2023;311
Christianshavn - Oven Vandet;0-4 år;2024;294
Christianshavn - Oven Vandet;0-4 år;2025;291
Christianshavn - Holmen og Refshaleøen;0-4 år;1977;0
Christianshavn - Holmen og Refshaleøen;0-4 år;1978;0
Christianshavn - Holmen og Refshaleøen;0-4 år;1979;0
Christianshavn - Holmen og Refshaleøen;0-4 år;1980;0
Christianshavn - Holmen og Refshaleøen;0-4 år;1981;0
Christianshavn - Holmen og Refshaleøen;0-4 år;1982;1
Christianshavn - Holmen og Refshaleøen;0-4 år;1983;0
Christianshavn - Holmen og Refshaleøen;0-4 år;1984;0
Christianshavn - Holmen og Refshaleøen;0-4 år;1985;1
Christianshavn - Holmen og Refshaleøen;0-4 år;1986;1
Christianshavn - Holmen og Refshaleøen;0-4 år;1987;1
Christianshavn - Holmen og Refshaleøen;0-4 år;1988;0
Christianshavn - Holmen og Refshaleøen;0-4 år;1989;0
Christianshavn - Holmen og Refshaleøen;0-4 år;1990;0
Christianshavn - Holmen og Refshaleøen;0-4 år;1991;0
Christianshavn - Holmen og Refshaleøen;0-4 år;1992;0
Christianshavn - Holmen og Refshaleøen;0-4 år;1993;0
Christianshavn - Holmen og Refshaleøen;0-4 år;1994;0
Christianshavn - Holmen og Refshaleøen;0-4 år;1995;0
Christianshavn - Holmen og Refshaleøen;0-4 år;1996;0
Christianshavn - Holmen og Refshaleøen;0-4 år;1997;1
Christianshavn - Holmen og Refshaleøen;0-4 år;1998;3
Christianshavn - Holmen og Refshaleøen;0-4 år;1999;4
Christianshavn - Holmen og Refshaleøen;0-4 år;2000;4
Christianshavn - Holmen og Refshaleøen;0-4 år;2001;15
Christianshavn - Holmen og Refshaleøen;0-4 år;2002;27
Christianshavn - Holmen og Refshaleøen;0-4 år;2003;45
Christianshavn - Holmen og Refshaleøen;0-4 år;2004;81
Christianshavn - Holmen og Refshaleøen;0-4 år;2005;92
Christianshavn - Holmen og Refshaleøen;0-4 år;2006;108
Christianshavn - Holmen og Refshaleøen;0-4 år;2007;128
Christianshavn - Holmen og Refshaleøen;0-4 år;2008;126
Christianshavn - Holmen og Refshaleøen;0-4 år;2009;138
Christianshavn - Holmen og Refshaleøen;0-4 år;2010;141
Christianshavn - Holmen og Refshaleøen;0-4 år;2011;119
Christianshavn - Holmen og Refshaleøen;0-4 år;2012;119
Christianshavn - Holmen og Refshaleøen;0-4 år;2013;139
Christianshavn - Holmen og Refshaleøen;0-4 år;2014;139
Christianshavn - Holmen og Refshaleøen;0-4 år;2015;187
Christianshavn - Holmen og Refshaleøen;0-4 år;2016;256
Christianshavn - Holmen og Refshaleøen;0-4 år;2017;268
Christianshavn - Holmen og Refshaleøen;0-4 år;2018;279
Christianshavn - Holmen og Refshaleøen;0-4 år;2019;292
Christianshavn - Holmen og Refshaleøen;0-4 år;2020;306
Christianshavn - Holmen og Refshaleøen;0-4 år;2021;282
Christianshavn - Holmen og Refshaleøen;0-4 år;2022;264
Christianshavn - Holmen og Refshaleøen;0-4 år;2023;249
Christianshavn - Holmen og Refshaleøen;0-4 år;2024;216
Christianshavn - Holmen og Refshaleøen;0-4 år;2025;222
Østerbro - Nord/Komponistkvarteret;0-4 år;1977;181
Østerbro - Nord/Komponistkvarteret;0-4 år;1978;165
Østerbro - Nord/Komponistkvarteret;0-4 år;1979;153
Østerbro - Nord/Komponistkvarteret;0-4 år;1980;132
Østerbro - Nord/Komponistkvarteret;0-4 år;1981;140
Østerbro - Nord/Komponistkvarteret;0-4 år;1982;143
Østerbro - Nord/Komponistkvarteret;0-4 år;1983;137
Østerbro - Nord/Komponistkvarteret;0-4 år;1984;135
Østerbro - Nord/Komponistkvarteret;0-4 år;1985;140
Østerbro - Nord/Komponistkvarteret;0-4 år;1986;129
Østerbro - Nord/Komponistkvarteret;0-4 år;1987;123
Østerbro - Nord/Komponistkvarteret;0-4 år;1988;122
Østerbro - Nord/Komponistkvarteret;0-4 år;1989;125
Østerbro - Nord/Komponistkvarteret;0-4 år;1990;123
Østerbro - Nord/Komponistkvarteret;0-4 år;1991;124
Østerbro - Nord/Komponistkvarteret;0-4 år;1992;125
Østerbro - Nord/Komponistkvarteret;0-4 år;1993;135
Østerbro - Nord/Komponistkvarteret;0-4 år;1994;156
Østerbro - Nord/Komponistkvarteret;0-4 år;1995;172
Østerbro - Nord/Komponistkvarteret;0-4 år;1996;195
Østerbro - Nord/Komponistkvarteret;0-4 år;1997;190
Østerbro - Nord/Komponistkvarteret;0-4 år;1998;201
Østerbro - Nord/Komponistkvarteret;0-4 år;1999;216
Østerbro - Nord/Komponistkvarteret;0-4 år;2000;188
Østerbro - Nord/Komponistkvarteret;0-4 år;2001;184
Østerbro - Nord/Komponistkvarteret;0-4 år;2002;196
Østerbro - Nord/Komponistkvarteret;0-4 år;2003;206
Østerbro - Nord/Komponistkvarteret;0-4 år;2004;225
Østerbro - Nord/Komponistkvarteret;0-4 år;2005;239
Østerbro - Nord/Komponistkvarteret;0-4 år;2006;237
Østerbro - Nord/Komponistkvarteret;0-4 år;2007;200
Østerbro - Nord/Komponistkvarteret;0-4 år;2008;190
Østerbro - Nord/Komponistkvarteret;0-4 år;2009;197
Østerbro - Nord/Komponistkvarteret;0-4 år;2010;203
Østerbro - Nord/Komponistkvarteret;0-4 år;2011;199
Østerbro - Nord/Komponistkvarteret;0-4 år;2012;212
Østerbro - Nord/Komponistkvarteret;0-4 år;2013;214
Østerbro - Nord/Komponistkvarteret;0-4 år;2014;219
