OMRKK;TID;INDHOLD
Bydel - Brønshøj-Husum;2015;1824,3
Bydel - Brønshøj-Husum;2016;1967,5
Bydel - Brønshøj-Husum;2017;1872,2
Bydel - Brønshøj-Husum;2018;1732,8
Bydel - Brønshøj-Husum;2019;1737,5
Bydel - Brønshøj-Husum;2020;1698,6
Bydel - Brønshøj-Husum;2021;1709,9
Bydel - Brønshøj-Husum;2022;1516,8
Bydel - Brønshøj-Husum;2023;1519,7
Bydel - Brønshøj-Husum;2024;1456,9
Bydel - Bispebjerg;2006;1313,8
Bydel - Bispebjerg;2007;1379,2
Bydel - Bispebjerg;2008;1436,5
Bydel - Bispebjerg;2009;1412,0
Bydel - Bispebjerg;2010;1539,1
Bydel - Bispebjerg;2011;1543,8
Bydel - Bispebjerg;2012;1587,7
Bydel - Bispebjerg;2013;1448,6
Bydel - Bispebjerg;2014;1460,7
Bydel - Bispebjerg;2015;1463,2
Bydel - Bispebjerg;2016;1402,5
Bydel - Bispebjerg;2017;1451,8
Bydel - Bispebjerg;2018;1420,9
Bydel - Bispebjerg;2019;1364,1
Bydel - Bispebjerg;2020;1363,7
Bydel - Bispebjerg;2021;1371,5
Bydel - Bispebjerg;2022;1129,2
Bydel - Bispebjerg;2023;1185,6
Bydel - Bispebjerg;2024;1181,5
Bydel - Amager Øst;2006;1430,3
Bydel - Amager Øst;2007;1472,2
Bydel - Amager Øst;2008;1503,6
Bydel - Amager Øst;2009;1412,0
Bydel - Amager Øst;2010;1612,8
Bydel - Amager Øst;2011;1447,4
Bydel - Amager Øst;2012;1523,8
Bydel - Amager Øst;2013;1310,6
Bydel - Amager Øst;2014;1394,9
Bydel - Amager Øst;2015;1498,0
Bydel - Amager Øst;2016;1520,5
Bydel - Amager Øst;2017;1535,0
Bydel - Amager Øst;2018;1581,0
Bydel - Amager Øst;2019;1535,7
Bydel - Amager Øst;2020;1462,5
Bydel - Amager Øst;2021;1474,9
Bydel - Amager Øst;2022;1357,2
Bydel - Amager Øst;2023;1249,8
Bydel - Amager Øst;2024;1264,9
Bydel - Amager Vest;2006;1594,1
Bydel - Amager Vest;2007;1636,4
Bydel - Amager Vest;2008;1655,3
Bydel - Amager Vest;2009;1756,4
Bydel - Amager Vest;2010;1875,5
Bydel - Amager Vest;2011;1806,0
Bydel - Amager Vest;2012;1668,4
Bydel - Amager Vest;2013;1786,2
Bydel - Amager Vest;2014;1719,6
Bydel - Amager Vest;2015;1659,6
Bydel - Amager Vest;2016;1782,3
Bydel - Amager Vest;2017;1834,5
Bydel - Amager Vest;2018;1725,4
Bydel - Amager Vest;2019;1707,2
Bydel - Amager Vest;2020;1521,1
Bydel - Amager Vest;2021;1612,4
Bydel - Amager Vest;2022;1333,7
Bydel - Amager Vest;2023;1364,6
Bydel - Amager Vest;2024;1336,0
Bydel - Uden for inddeling;2006;436,1
Bydel - Uden for inddeling;2007;967,8
Bydel - Uden for inddeling;2008;440,3
Bydel - Uden for inddeling;2009;621,6
Bydel - Uden for inddeling;2010;449,9
Bydel - Uden for inddeling;2011;508,6
Bydel - Uden for inddeling;2012;546,6
Bydel - Uden for inddeling;2013;523,2
Bydel - Uden for inddeling;2014;811,2
Bydel - Uden for inddeling;2015;658,5
Bydel - Uden for inddeling;2016;591,1
Bydel - Uden for inddeling;2017;649,2
Bydel - Uden for inddeling;2018;533,4
Bydel - Uden for inddeling;2019;850,9
Bydel - Uden for inddeling;2020;376,2
Bydel - Uden for inddeling;2021;391,4
Bydel - Uden for inddeling;2022;387,8
Bydel - Uden for inddeling;2023;208,5
Bydel - Uden for inddeling;2024;164,5
Lokaludvalg - Indre By;2006;1507,2
Lokaludvalg - Indre By;2007;1551,1
Lokaludvalg - Indre By;2008;1514,1
Lokaludvalg - Indre By;2009;1511,6
Lokaludvalg - Indre By;2010;1478,6
Lokaludvalg - Indre By;2011;1545,9
Lokaludvalg - Indre By;2012;1462,4
Lokaludvalg - Indre By;2013;1432,3
Lokaludvalg - Indre By;2014;1385,2
Lokaludvalg - Indre By;2015;1416,6
Lokaludvalg - Indre By;2016;1654,9
Lokaludvalg - Indre By;2017;1471,1
Lokaludvalg - Indre By;2018;1476,2
Lokaludvalg - Indre By;2019;1439,8
Lokaludvalg - Indre By;2020;1356,2
Lokaludvalg - Indre By;2021;1468,1
Lokaludvalg - Indre By;2022;1220,3
Lokaludvalg - Indre By;2023;1176,1
Lokaludvalg - Indre By;2024;1314,3
Lokaludvalg - Christianshavn;2006;1247,9
Lokaludvalg - Christianshavn;2007;1724,6
Lokaludvalg - Christianshavn;2008;1681,0
Lokaludvalg - Christianshavn;2009;1568,0
Lokaludvalg - Christianshavn;2010;1716,8
Lokaludvalg - Christianshavn;2011;1304,8
Lokaludvalg - Christianshavn;2012;1668,0
Lokaludvalg - Christianshavn;2013;1551,8
Lokaludvalg - Christianshavn;2014;1679,9
Lokaludvalg - Christianshavn;2015;1687,8
Lokaludvalg - Christianshavn;2016;1839,4
Lokaludvalg - Christianshavn;2017;1712,3
