FID,t_nr,vejnavn,beskrivelse,husnummer,type,taelling_type,fod_7_19,aadt_fod_7_19,hvdt_fod_7_19,fod_7_21,aadt_fod_7_21,hvdt_fod_7_21,fod_7_24,aadt_fod_7_24,hvdt_fod_7_24,aadt_fod_label,fod_gns_10_18,taelle_dato,aar,link,ogc_fid,wkb_geometry
trafiktaelling_fodg.136,7153,Jernbane Alle,nord for Jydeholmen,35,100,Øvrige tællinger,5753,6700,7000,,,,,,,6700,,20190626,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/UDl6Gk4Uyk.pdf,136,POINT (12.490957256992745 55.68648379976289)
trafiktaelling_fodg.137,7154,Flintholm station,ved Grøndals Parkvej,,100,Øvrige tællinger,6047,7100,7300,,,,,,,7100,500,20100601,2010,https://kk.sites.itera.dk/apps/kk_trafik/pdf/8ivItnJ6nb.pdf,137,POINT (12.498556179835166 55.68592779674868)
trafiktaelling_fodg.138,7160,Amaliehaven ,kajsiden nord for anløbstrappen,,100,Øvrige tællinger,4600,5400,5600,,,,,,,5400,600,20110830,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/pobdblGviw.pdf,138,POINT (12.59553519105413 55.683507791043674)
trafiktaelling_fodg.139,7161,Amaliehaven ,indgang fra kajsiden,,100,Øvrige tællinger,6300,7400,7600,,,,,,,7400,700,20110830,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/RtfIbhp2CR.pdf,139,POINT (12.595326970311962 55.68343595718498)
trafiktaelling_fodg.140,7162,Amaliehaven ,kajsiden syd for anløbstrappen,,100,Øvrige tællinger,3500,4100,4200,,,,,,,4100,400,20110616,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/dxmZ594160.pdf,140,POINT (12.595366704699344 55.68329090475432)
trafiktaelling_fodg.141,7163,Amaliehaven ,kajsiden til og fra båden,,100,Øvrige tællinger,100,100,100,,,,,,,100,11,20110830,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/YtEGK7NdBM.pdf,141,POINT (12.59555959924843 55.68336918323652)
trafiktaelling_fodg.142,7164,Borgbjergsvej,FOD,23,100,Øvrige tællinger,3791,4400,4600,,,,,,,4400,,20190903,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/BMHOY2uqGF.pdf,142,POINT (12.537101434527486 55.651126203168396)
trafiktaelling_fodg.143,7165,Christianshavns Kanal,Overgaden oven Vandet,42,100,Øvrige tællinger,4100,4800,5000,,,,,,,4800,400,20110830,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/lpgrO65T9y.pdf,143,POINT (12.592208208415958 55.67315456840403)
trafiktaelling_fodg.144,7166,Cirkeline Plads,Hjørnet Enghavevej og Ny Carlsbergvej,,100,Øvrige tællinger,3305,3900,4000,,,,,,,3900,,20160614,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/Lf8rCKSL9F.pdf,144,POINT (12.54376099559102 55.66607901383784)
trafiktaelling_fodg.145,7167,Damhusdæmningen,vest for Ved Damhussøen,2B,100,Øvrige tællinger,1507,1800,1800,,,,,,,1800,,20240619,2024,https://kk.sites.itera.dk/apps/kk_trafik/pdf/IqLc9C8bOf.pdf,145,POINT (12.47316153935187 55.681177286666646)
trafiktaelling_fodg.146,7168,Applebys Plads (ved Cirkelbroen),ved Cirkelbroen ved Danisco bygningen,,100,Øvrige tællinger,465,500,600,,,,,,,500,47,20150930,2015,https://kk.sites.itera.dk/apps/kk_trafik/pdf/Omp3l0dex1.pdf,146,POINT (12.5836760374204 55.672218294731536)
trafiktaelling_fodg.147,7169,Fiskebroen,,,100,Øvrige tællinger,669,800,800,,,,,,,800,,20170601,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/eEL5BvuwdB.pdf,147,POINT (12.55137779871065 55.64311459388048)
trafiktaelling_fodg.148,7170,Frederiksstadsgade ,,15,100,Øvrige tællinger,1401,1600,1700,,,,,,,1600,,20160614,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/07FS1v5Qw4.pdf,148,POINT (12.545969568521773 55.66906975641854)
trafiktaelling_fodg.149,7171,Haderslevsgade ,,3,100,Øvrige tællinger,1052,1200,1300,,,,,,,1200,,20160614,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/1D5uWLWhVH.pdf,149,POINT (12.545659311339145 55.66889322034561)
trafiktaelling_fodg.150,7172,Islands Brygge,Fortovet u.f. husnr. 17,17,100,Øvrige tællinger,1302,1500,1600,,,,,,,1500,136,20110621,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ZiRhFAN00R.pdf,150,POINT (12.577716402479869 55.66744539135821)
trafiktaelling_fodg.151,7173,Ben Websters Vej,FOD,70,100,Øvrige tællinger,400,500,500,,,,,,,500,39,20110621,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/QwZcfwaMjP.pdf,151,POINT (12.55280180494944 55.646331970664)
trafiktaelling_fodg.152,7174,Islands Brygge,Havneparken ved redningskrans (overfor Islands Brygge 35),37,100,Øvrige tællinger,600,700,700,,,,,,,700,59,20110830,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/Lu2huvbEEj.pdf,152,POINT (12.573818600825176 55.665391189248496)
trafiktaelling_fodg.153,7176,Amagerbrogade,FOD,32,100,Øvrige tællinger,3803,4400,4600,,,,,,,4400,,20230912,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/rtu70nCNoj.pdf,153,POINT (12.600226002361838 55.6644833396152)
trafiktaelling_fodg.154,7179,Store Møllevej,,8,100,Øvrige tællinger,619,700,700,,,,,,,700,55,20100603,2010,https://kk.sites.itera.dk/apps/kk_trafik/pdf/9Dh0rwOgEW.pdf,154,POINT (12.599514051743885 55.667079570550584)
trafiktaelling_fodg.155,7180,Strandboulevarden,,142,100,Øvrige tællinger,907,1100,1100,,,,,,,1100,83,20120426,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/KkfxPoAYHV.pdf,155,POINT (12.58192420582557 55.709304676453655)
trafiktaelling_fodg.156,7181,Strandboulevarden,,31A,100,Øvrige tællinger,1165,1400,1400,,,,,,,1400,99,20120426,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/Wz1ysNZKYi.pdf,156,POINT (12.58929020246366 55.70058498966432)
trafiktaelling_fodg.157,7182,Strandboulevarden,,75,100,Øvrige tællinger,1428,1700,1700,,,,,,,1700,128,20120426,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/UUnhFnhtTo.pdf,157,POINT (12.586676287799888 55.70520702730391)
trafiktaelling_fodg.158,7183,Nybrogade,FOD,24A,100,Øvrige tællinger,3740,4400,4500,,,,,,,4400,,20230623,2023,https://kk.sites.itera.dk/apps/kk_trafik/pdf/jGMAMn1Yn9.pdf,158,POINT (12.57585582327883 55.676159939965544)
trafiktaelling_fodg.159,7184,Langeliniekaj,ved Langelinie Allé,5,100,Øvrige tællinger,4300,5000,5200,,,,,,,5000,500,20110728,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/5FhnWv8YMV.pdf,159,POINT (12.600154088798984 55.69552948665826)
trafiktaelling_fodg.160,7185,Matthæusgade ,øst for Enghavevej,37,100,Øvrige tællinger,3579,4200,4300,,,,,,,4200,,20160614,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/y8rn5lsE5z.pdf,160,POINT (12.545751561729846 55.669602800279215)
trafiktaelling_fodg.161,7186,Liva Weels Plads,,,100,Øvrige tællinger,1005,1200,1200,,,,,,,1200,,20160614,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/Fx2iML0GiB.pdf,161,POINT (12.546127915568377 55.66544092951184)
trafiktaelling_fodg.162,7187,Nokken Strandvej,Nokken Strandvej - ved roklub,,100,Øvrige tællinger,200,200,200,,,,,,,200,11,20110621,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/gD1puIwbxI.pdf,162,POINT (12.564120902530737 55.65428503443883)
trafiktaelling_fodg.163,7188,Nokken Strandvej,Nokken Strandvej - ved bom,,100,Øvrige tællinger,412,500,500,,,,,,,500,,20170614,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/YQ3TNpEwLE.pdf,163,POINT (12.56287382026979 55.65334212193344)
trafiktaelling_fodg.164,7189,Strandgade,Nordatlantens Brygge,91,100,Øvrige tællinger,1597,1900,1900,,,,,,,1900,,20170601,2017,http://kk.sites.itera.dk/apps/kk_trafik/pdf/rAoWmhcgmR.pdf,164,POINT (12.596600401792111 55.67734911161737)
trafiktaelling_fodg.165,7190,Nørre Voldgade,Nørre Voldgade - ud for husnr. 106,106,100,Øvrige tællinger,6274,7300,7600,,,,,,,7300,615,20140604,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/90z90UgAm4.pdf,165,POINT (12.573709482035435 55.684259777732706)
trafiktaelling_fodg.166,7191,Nørre Voldgade,FOD,3,100,Øvrige tællinger,2463,2900,3000,,,,,,,2900,,20180619,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/omdypwxadO.pdf,166,POINT (12.56965268373633 55.68223040595286)
trafiktaelling_fodg.167,7192,Orlogsværftvej,Operaen - Dokøen,,100,Øvrige tællinger,400,500,500,,,,,,,500,46,20110609,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/l4VaVQ62rT.pdf,167,POINT (12.599578967334345 55.68171719505565)
trafiktaelling_fodg.168,7193,Peblinge Dossering,ved Baggesensgade,10,100,Øvrige tællinger,3671,4300,4400,,,,,,,4300,,20180920,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/UrMRsqznfZ.pdf,168,POINT (12.561513804908735 55.68630041266815)
trafiktaelling_fodg.169,7195,Refshalevej,Café Halvandet,340,100,Øvrige tællinger,60,100,100,,,,,,,100,7,20110830,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ZbUoTMuxye.pdf,169,POINT (12.609951078132402 55.69563585791699)
trafiktaelling_fodg.170,7196,Sluseholmen,,28,100,Øvrige tællinger,1283,1500,1600,,,,,,,1500,97,20100615,2010,https://kk.sites.itera.dk/apps/kk_trafik/pdf/IZ87hroZPQ.pdf,170,POINT (12.549189088594622 55.64652007252834)
trafiktaelling_fodg.171,7199,Langebrogade,,,100,Øvrige tællinger,2051,2400,2500,,,,,,,2400,,20190917,2019,https://kk.sites.itera.dk/apps/kk_trafik/pdf/54k7Jy16wB.pdf,171,POINT (12.580791923984627 55.670427639358415)
trafiktaelling_fodg.172,7200,Vasbygade,FOD,40,100,Øvrige tællinger,205,200,200,,,,,,,200,19,20140910,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/e4Q1yTLFmE.pdf,172,POINT (12.545936189920855 55.65622722469993)
trafiktaelling_fodg.173,7600,Klædemålet,Gang(jern)banebro vest for Klædemålet,,100,Øvrige tællinger,1877,2200,2300,,,,,,,2200,143,20140622,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/xOfwzdeSLx.pdf,173,POINT (12.545274154043446 55.715270880069234)
trafiktaelling_fodg.174,7601,Folehaven,Gangbro over Folehaven,63,100,Øvrige tællinger,203,200,200,,,,,,,200,15,20110818,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/qwEDaGPD4Z.pdf,174,POINT (12.500989309020444 55.65126183592734)
trafiktaelling_fodg.175,7602,Nordre Toldbod,Gangbro over forbindelsesvej ved Gefionspringvand,15,100,Øvrige tællinger,4520,5300,5500,,,,,,,5300,,20110922,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/LBiBN0rKdp.pdf,175,POINT (12.598060688498302 55.68948173046298)
trafiktaelling_fodg.176,7603,Jyllingevej,Gangbro ved Jyllingevej Station,98,100,Øvrige tællinger,134,200,200,,,,,,,200,,20181108,2018,https://kk.sites.itera.dk/apps/kk_trafik/pdf/cWm4xf0b6r.pdf,176,POINT (12.477114117217445 55.690728437307726)
trafiktaelling_fodg.177,7604,Lersø Parkallé,Gangbro over Lersø Parkallé,,100,Øvrige tællinger,138,200,200,,,,,,,200,14,20110818,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/m6fkXWdcKo.pdf,177,POINT (12.5514887449708 55.712378241347636)
trafiktaelling_fodg.178,7605,Banefløjstien,Gangbro på Banefløjstien over fæstningsgraven,,100,Øvrige tællinger,400,500,500,,,,,,,500,18,20110818,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/zvzgIC5tzv.pdf,178,POINT (12.461511875591375 55.7118713261489)
trafiktaelling_fodg.179,7606,Korsager Allé,Gangtunnel mellem Korsager Allé og Åvendingen,,100,Øvrige tællinger,618,700,700,,,,,,,700,11,20110922,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/SuyQvsYx9w.pdf,179,POINT (12.466551216982992 55.70625832757831)
trafiktaelling_fodg.180,7607,Amager Boulevard,Gangtunnel under Amager Boulevard ved Thorshavnsgade,4,100,Øvrige tællinger,683,800,800,,,,,,,800,,20240528,2024,https://kk.sites.itera.dk/apps/kk_trafik/pdf/fpWRyDr7WC.pdf,180,POINT (12.581137777278906 55.66909979243385)
trafiktaelling_fodg.181,7608,Amagerbrogade,Gangtunnel under Amagerbrogade ved Hans Bogbinders Allé,156,100,Øvrige tællinger,197,200,200,,,,,,,200,,20220609,2022,https://kk.sites.itera.dk/apps/kk_trafik/pdf/ZuhtFWxVEh.pdf,181,POINT (12.610188468263908 55.65508949559905)
trafiktaelling_fodg.182,7609,Emdrupvej,Gangtunnel under Emdrupvej ved Banebrinken,88,100,Øvrige tællinger,70,100,100,,,,,,,100,6,20120522,2012,http://kk.sites.itera.dk/apps/kk_trafik/pdf/j6d6pwGtgm.pdf,182,POINT (12.539596800251775 55.722713061037545)
trafiktaelling_fodg.183,7610,Frederikssundsvej ,Gangtunnel under Frederikssundsvej ved Hyrdevangen,125A,100,Øvrige tællinger,157,200,200,,,,,,,200,14,20110818,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/wMkTnktTju.pdf,183,POINT (12.509765635558926 55.70586455822297)
trafiktaelling_fodg.184,7611,Jagtvej,Gangtunnel under Jagtvej ved Hans Egedes Gade,34,100,Øvrige tællinger,156,200,200,,,,,,,200,,20141022,2014,http://kk.sites.itera.dk/apps/kk_trafik/pdf/fSCnOo7yVO.pdf,184,POINT (12.544430224017017 55.690242424035944)
trafiktaelling_fodg.185,7612,Jagtvej,Gangtunnel under Jagtvej ved Stevnsgade,78,100,Øvrige tællinger,140,200,200,,,,,,,200,,20161012,2016,http://kk.sites.itera.dk/apps/kk_trafik/pdf/lJwMZX4VYe.pdf,185,POINT (12.551566854607024 55.69672541466324)
trafiktaelling_fodg.186,7613,Lyshøjgårdsvej,Gangtunnel under jernbane ved Fengersvej,,100,Øvrige tællinger,2738,3200,3300,,,,,,,3200,46,20110922,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/OoYl7zMBAY.pdf,186,POINT (12.507698975527399 55.66372055828285)
trafiktaelling_fodg.187,7614,Oslo Plads ,Gangtunnel under Oslo Plads nordøst,,100,Øvrige tællinger,3450,4000,4200,,,,,,,4000,194,20110922,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/YuBLNLwtYI.pdf,187,POINT (12.586415305208828 55.692465553478485)
trafiktaelling_fodg.188,7615,Oslo Plads ,Gangtunnel under Oslo Plads sydvest,,100,Øvrige tællinger,456,500,600,,,,,,,500,31,20110922,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/vEQmKXnrQg.pdf,188,POINT (12.58702522250566 55.692135761437626)
trafiktaelling_fodg.189,7616,Peder Lykkes Vej,Gangtunnel under Peder Lykkes Vej ved Tingvej,59C,100,Øvrige tællinger,327,400,400,,,,,,,400,,20110922,2011,http://kk.sites.itera.dk/apps/kk_trafik/pdf/ZwwKROrTQX.pdf,189,POINT (12.599457240887453 55.65457765805263)
