FID,id,status,driftsplan_navn,arbejdssted_navn,arbejdssted_id,tekst_id,driftsbydel,byrumstype,underordnet_byrumstype,stednavn,underordnet_stednavn,kgb_kategori,geoobjekttypeid,puma_geoobjektid,toemningsmetode,toemningsansvarlig,toemningsansvarlig_navn,driftsansvarlig,toemningsfrekvens_lavsaeson,toemningsfrekvens_hoejsaeson,type,har_sensor,kommentar,oprettet,pantholder,wkb_geometry
affaldskurve_puma.5767,5767,IDrift,Lergravsparken,Lergravsparken,180,Lergr_Lergr_180,Amager Øst,Parker,Klassisk park,Lergravsparken,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,f94547a5-743d-46f1-8c9b-742e74e560fd,Manuel,TMF,TMF,,,,Richard Møller,FALSE,,2018-08-27T13:59:45.583,FALSE,MULTIPOINT ((12.62102497087593 55.66145610174572))
affaldskurve_puma.5770,5770,IDrift,Nørrebroparken,Nørrebroparken,475,Nørre_Nørre_475,Nørrebro,Gader og pladser,Øvrig gade,Kvarteret ved Hillerødgade,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,47f55c42-efe6-4089-a941-8c98d95e57df,Manuel,TMF,TMF,,,,Richard Møller,FALSE,,2018-08-27T14:02:37.318,FALSE,MULTIPOINT ((12.54258728507563 55.69428557503706))
affaldskurve_puma.5778,5778,IDrift,Kastellet_Langelinie,Kastellet_Langelinie_Gl_GGO,184,Kaste_Kaste_184,Indre By,Parker,Klassisk park,Kastellets udenværker,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,c19e01e2-56c3-45bd-ad41-db51832401dd,Manuel,TMF,TMF,,,,Richard Møller,FALSE,,2018-08-27T14:01:46.507,FALSE,MULTIPOINT ((12.591613300363333 55.68908795852569))
affaldskurve_puma.5779,5779,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave (udl.),Gader og pladser,Gade med grønt,Enghavevej,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,b95dd774-0c2b-48df-b4ba-bd94a61fca38,Manuel,Ekstern2,Terranor,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),Richard Møller,FALSE,,2018-08-27T13:57:40.438,FALSE,MULTIPOINT ((12.541994809731095 55.663172313571295))
affaldskurve_puma.5787,5787,IDrift,Utterslev Mose,UtterslevMose_Orb,169,Utter_Utter_169,Brønshøj-Husum (udl.),Natur,Naturområde,Utterslev Mose,,12.2.10 Tremmekurv,b6bcc5ac-df96-4ded-b556-5fef55f344ab,03ad72d1-1901-49a6-a62a-ee32bc050e64,Manuel,KFF,KFF,,,,Tremmekurv,FALSE,,2018-08-27T13:59:02.967,FALSE,MULTIPOINT ((12.493452425902438 55.721713008574014))
affaldskurve_puma.5788,5788,IDrift,Grøndalsparken,Grøndalsparken_Gl_GGO,203,Grønd_Grønd_203,Vanløse,Parker,Lege- og aktivitetsområde,Grøndalsparken,,12.2.10 Tremmekurv,b6bcc5ac-df96-4ded-b556-5fef55f344ab,69a27d0c-943f-40e2-a22c-e8b6ed5899a1,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Tremmekurv,FALSE,,2018-08-27T13:58:10.906,FALSE,MULTIPOINT ((12.491548494872042 55.68103062231248))
affaldskurve_puma.5789,5789,IDrift,Utterslev Mose,UtterslevMose_Orb,169,Utter_Utter_169,Brønshøj-Husum (udl.),Natur,Naturområde,Utterslev Mose,,12.2.10 Tremmekurv,b6bcc5ac-df96-4ded-b556-5fef55f344ab,d2aa9f10-8310-4f2d-a23d-63015f8013dc,Manuel,Ekstern1,OKNygaard,,H (1 ugentlig hverdagstømning),H (1 ugentlig hverdagstømning),Tremmekurv,FALSE,,2020-01-30T06:58:33.752,FALSE,MULTIPOINT ((12.503979283245311 55.70918018656616))
affaldskurve_puma.5792,5792,IDrift,Kastrup Fort,Kastrup Fort,393,Kastr_Kastr_393,Amager Øst,Parker,Klassisk park,Kastrup Fort,,12.2.10 Tremmekurv,b6bcc5ac-df96-4ded-b556-5fef55f344ab,98c7b442-286a-40c8-8140-eec6590a5ab3,Manuel,TMF,TMF,,,,Tremmekurv,FALSE,,2018-08-27T13:59:43.834,FALSE,MULTIPOINT ((12.638787853346724 55.6489246030929))
affaldskurve_puma.5793,5793,IDrift,Kastellet_Langelinie,Kastellet_Langelinie_Gl_GGO,184,Kaste_Kaste_184,Indre By,Parker,Klassisk park,Kastellets udenværker,,12.2.10 Tremmekurv,b6bcc5ac-df96-4ded-b556-5fef55f344ab,ad41ac60-b271-4579-be5b-8ad010076744,Manuel,TMF,TMF,,G (2 ugentlige hverdagstømninger),F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),Tremmekurv,FALSE,,2018-08-27T14:00:02.086,FALSE,MULTIPOINT ((12.589886759554007 55.69159858968336))
affaldskurve_puma.5794,5794,IDrift,Småparker Nørrebro,Udbygade,592,Småpa_Udbyg_592,Nørrebro,Parker,Lege- og aktivitetsområde,Sjællandsgade,,12.2.10 Tremmekurv,b6bcc5ac-df96-4ded-b556-5fef55f344ab,2c3158d2-1142-4492-af5e-e6e017048470,Manuel,TMF,TMF,,,,Tremmekurv,FALSE,,2018-08-27T14:02:56.079,FALSE,MULTIPOINT ((12.553606255758943 55.69439938129954))
