FID,id,status,driftsplan_navn,arbejdssted_navn,arbejdssted_id,tekst_id,driftsbydel,byrumstype,underordnet_byrumstype,stednavn,underordnet_stednavn,kgb_kategori,geoobjekttypeid,puma_geoobjektid,toemningsmetode,toemningsansvarlig,toemningsansvarlig_navn,driftsansvarlig,toemningsfrekvens_lavsaeson,toemningsfrekvens_hoejsaeson,type,har_sensor,kommentar,oprettet,pantholder,wkb_geometry
affaldskurve_puma.1,1,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave,Gader og pladser,Gade med grønt,Gade i Kongens Enghave,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,fba9fab4-b187-430f-b9a5-edf493d1acde,Manuel,TMF,TMF,,,,Københavnerkurven,FALSE,,2018-08-27T13:59:17.06,TRUE,MULTIPOINT ((12.527441463593396 55.651700859258504))
affaldskurve_puma.2,2,IDrift,Bydækkende drift,,,,Amager Vest,Gader og pladser,Gade med grønt,Kvarteret ved Hollænderdybet,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,e6d37ae0-998e-4ec3-971e-015f3066cc2b,Maskinel,,,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),Pizzakurv 2020,FALSE,,2022-06-24T05:55:56.401,FALSE,MULTIPOINT ((12.596081615244765 55.66513573263424))
affaldskurve_puma.3,3,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Gade med grønt,Vesterbrogade,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,8e5fe554-d5f3-4081-b008-85e5dc32186e,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2020-10-01T07:53:15.503,FALSE,MULTIPOINT ((12.56631893572696 55.67538795993061))
affaldskurve_puma.4,4,IDrift,Bydækkende drift,,,,Valby,Småarealer,Øvrigt småareal,Sjælør Station,P-plads,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,0b4ee6ac-edb0-48f9-9e25-f4e41728f888,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Richard Møller,FALSE,,2018-08-27T13:57:37.213,TRUE,MULTIPOINT ((12.527123370014904 55.651904099456104))
affaldskurve_puma.6,6,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Gade med grønt,Vesterbrogade,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,97b991e3-2653-412a-a6fd-a75168da57b2,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2020-11-23T10:07:39.472,FALSE,MULTIPOINT ((12.566423507453456 55.67542573086733))
affaldskurve_puma.9,9,IDrift,Assistens Kirkegård,Assistens Kirkegård,3034,Assis_Assis_3034,Nørrebro,Gader og pladser,Grøn plads,Jagtvej,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,1576d9e3-b7c3-42e0-8f7a-2a9692127241,Maskinel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Pizzakurv 2020,TRUE,,2020-06-16T12:41:08.337,FALSE,MULTIPOINT ((12.54888253204428 55.69400918542946))
affaldskurve_puma.10,10,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Grøn plads,Rådhuspladsen,Metro,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,ee31ae20-abbb-4608-9b12-516adf38ba87,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2021-02-22T12:17:03.863,FALSE,MULTIPOINT ((12.56803440932114 55.676119629313725))
affaldskurve_puma.13,13,IDrift,Bydækkende drift,,,,Valby,Småarealer,Øvrigt småareal,Sti langs Poul Reichardts Vej,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,8d248828-3ad1-4af3-83a3-f82d52691e41,Manuel,,,,,,Københavnerkurven,FALSE,,2023-11-29T14:40:38.336,FALSE,MULTIPOINT ((12.507824806955478 55.65734521069611))
affaldskurve_puma.14,14,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Grøn plads,Rådhuspladsen,Metro,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,1b1db703-3c6a-4c91-a0c4-78e9421e6197,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2020-10-01T07:22:31.053,FALSE,MULTIPOINT ((12.568476543940507 55.67586071752408))
affaldskurve_puma.15,15,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Grøn plads,Rådhuspladsen,Metro,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,52ff1eef-f8c5-42c5-b832-6f2fe8a0e44f,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2020-10-01T07:27:36.328,FALSE,MULTIPOINT ((12.568733405930894 55.67566008597444))
affaldskurve_puma.16,16,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gade i Indre By,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,afad7ca4-827d-4fb5-b51f-43c406449e3a,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Richard Møller,FALSE,,2018-08-27T13:58:12.946,FALSE,MULTIPOINT ((12.560495865093282 55.676995625925024))
affaldskurve_puma.17,17,IDrift,Assistens Kirkegård,Assistens Kirkegård,3034,Assis_Assis_3034,Nørrebro,Gader og pladser,Grøn plads,Jagtvej,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,7fa35846-969e-4115-a563-d1cf9ab3e404,Maskinel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Pizzakurv 2020,TRUE,,2020-06-16T12:40:56.373,FALSE,MULTIPOINT ((12.548823892424293 55.6940069188016))
affaldskurve_puma.18,18,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Grøn plads,Rådhuspladsen,Metro,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,dc76ccd8-58a5-4216-9c5a-ac83af82ba07,Manuel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Københavnerkurven,FALSE,,2020-01-16T06:22:11.448,FALSE,MULTIPOINT ((12.569262247419607 55.67567749525764))
affaldskurve_puma.19,19,IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Øvrig plads,Nørrebros Runddel,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,3f4fecfa-5983-497d-aec7-d3417b8784af,Maskinel,TMF,TMF,,D (2 daglige tømninger ugens 7 dage),D (2 daglige tømninger ugens 7 dage),Pizzakurv 2020,TRUE,,2020-06-16T12:41:30.651,FALSE,MULTIPOINT ((12.548462610107157 55.69434563742802))
affaldskurve_puma.20,20,IDrift,Valbyparken,Valbyparken,2370,Valby_Valby_2370,Vesterbro-Kgs.Enghave,Parker,Klassisk park,Valbyparken,,12.2.1 Andre Typer,387ad24d-f7c3-4a2f-8e7e-42f077b941c3,530bb4f3-7353-4c5f-9204-5ae714d77837,Manuel,,,,,,Cecilia,FALSE,,2024-08-30T10:19:37.775,FALSE,MULTIPOINT ((12.525790201934896 55.63812440094185))
affaldskurve_puma.21,21,IDrift,Valbyparken,Valbyparken,2370,Valby_Valby_2370,Vesterbro-Kgs.Enghave,Parker,Klassisk park,Valbyparken,,12.2.1 Andre Typer,387ad24d-f7c3-4a2f-8e7e-42f077b941c3,b0e5a47a-8d3e-4ca5-8375-d06f68a90d1c,Manuel,,,,,,Cecilia,FALSE,,2024-08-30T10:20:21.036,FALSE,MULTIPOINT ((12.525825639506605 55.63842844449069))
affaldskurve_puma.22,22,IDrift,Valbyparken,Valbyparken,2370,Valby_Valby_2370,Vesterbro-Kgs.Enghave,Parker,Klassisk park,Valbyparken,,12.2.1 Andre Typer,387ad24d-f7c3-4a2f-8e7e-42f077b941c3,d3895538-fde2-4833-9e42-164d1eccd38a,Manuel,,,,,,Cecilia,FALSE,,2024-08-30T10:21:35.602,FALSE,MULTIPOINT ((12.52591026400834 55.63755042350576))
affaldskurve_puma.23,23,IDrift,Valbyparken,Valbyparken,2370,Valby_Valby_2370,Vesterbro-Kgs.Enghave,Parker,Klassisk park,Valbyparken,,12.2.1 Andre Typer,387ad24d-f7c3-4a2f-8e7e-42f077b941c3,22605b82-cc5d-416f-8c8c-5402fd13c00d,Manuel,,,,,,Cecilia,FALSE,,2024-08-30T10:21:47.778,FALSE,MULTIPOINT ((12.525885258880077 55.63754790328086))
affaldskurve_puma.24,24,IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Grøn plads,Nuuks Plads,Metro,12.2.1 Andre Typer,11771ea8-0d3b-47d6-843f-0722ab03ad32,45be817b-ee54-4785-844f-c97813ac8748,Manuel,,,,,,Askebæger,FALSE,,2024-08-30T10:49:08.445,FALSE,MULTIPOINT ((12.542850417009037 55.68881677775535))
affaldskurve_puma.26,26,IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Grøn plads,Nuuks Plads,Metro,12.2.1 Andre Typer,11771ea8-0d3b-47d6-843f-0722ab03ad32,ac47bdd7-fdc2-4fb0-a560-8662453eea1f,Manuel,,,,,,Askebæger,FALSE,,2024-08-30T10:49:58.08,FALSE,MULTIPOINT ((12.542706616096808 55.68868492791074))
affaldskurve_puma.27,27,IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Grøn plads,Nuuks Plads,Metro,12.2.1 Andre Typer,11771ea8-0d3b-47d6-843f-0722ab03ad32,9acd8a09-3079-43c9-a010-c7b9139ab5e7,Manuel,,,,,,Askebæger,FALSE,,2024-08-30T10:44:15.153,FALSE,MULTIPOINT ((12.542770634909026 55.68866839794152))
affaldskurve_puma.30,30,IDrift,Bydækkende drift,,,,Nørrebro,Gader og pladser,Øvrig gade,Kvarteret ved Blågårds Plads,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,f47ffb20-1742-435f-ad6b-9d7a8753d380,Manuel,,,,,,Københavnerkurven,FALSE,,2024-08-30T11:17:48.793,FALSE,MULTIPOINT ((12.556133142159872 55.68456966014872))
affaldskurve_puma.32,32,IDrift,Småparker Nørrebro,Herman Triers Plads,585,Småpa_Herma_585,Nørrebro,Småarealer,Rekreativt småareal,Julius Thomsens Gade,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,58d61d85-a426-43c6-9605-65ae1550eb0c,Manuel,TMF,TMF,,,,Richard Møller,FALSE,,2018-08-27T14:02:59.463,TRUE,MULTIPOINT ((12.554715070046019 55.68259581066862))
affaldskurve_puma.41,41,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave (udl.),,,,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,b229b046-9dfd-4849-89ec-f2568b8d2748,Maskinel,Ekstern1,OKNygaard,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),E (1 daglig tømning ugens 7 dage),Pizzakurv 2020,FALSE,,2024-10-28T12:20:35.576,FALSE,MULTIPOINT ((12.565546371729345 55.67032890769363))
affaldskurve_puma.42,42,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave (udl.),,,,,Pizzakurv2020,19dbe90b-80af-4bc6-aa1a-6df420557336,a226955a-f661-49da-a39b-06b048f3837c,Maskinel,Ekstern1,OKNygaard,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),E (1 daglig tømning ugens 7 dage),Pizzakurv 2020,FALSE,,2024-10-28T12:20:48.438,FALSE,MULTIPOINT ((12.56559293855537 55.66993286784296))
affaldskurve_puma.48,48,IDrift,Christianshavns volde,Christianshavns volde,931,Chris_Chris_931,Indre By,Parker,Lege- og aktivitetsområde,Christianshavns Vold,Legeplads ,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,ed5c603b-c286-459a-a7a0-ce21eeb4febf,Manuel,,,,,,Københavnerkurven,FALSE,,2023-05-09T07:10:28.916,TRUE,MULTIPOINT ((12.592986602165581 55.66980273698542))
affaldskurve_puma.49,49,IDrift,Christianshavns volde,Christianshavns volde,931,Chris_Chris_931,Indre By,Parker,Lege- og aktivitetsområde,Christianshavns Vold,Legeplads ,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,dbce1b1e-b7d5-420f-8b68-e3c13cd5c8c3,Manuel,,,,,,Københavnerkurven,FALSE,,2023-05-09T07:11:12.563,TRUE,MULTIPOINT ((12.59338596391199 55.66993344575328))
affaldskurve_puma.50,50,IDrift,Christianshavns volde,Christianshavns volde,931,Chris_Chris_931,Indre By,Parker,Lege- og aktivitetsområde,Christianshavns Vold,Legeplads ,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,27808419-93b6-4e7d-b527-88fbbd190bbb,Manuel,,,,,,Københavnerkurven,FALSE,,2023-05-09T07:11:33.432,TRUE,MULTIPOINT ((12.592757223364956 55.670058773614095))
affaldskurve_puma.55,55,IDrift,Valbyparken,Valbyparken,2370,Valby_Valby_2370,Valby,Parker,Lege- og aktivitetsområde,Valbyparken,,12.2.1 Andre Typer,387ad24d-f7c3-4a2f-8e7e-42f077b941c3,67a75401-4712-4e49-a13c-3b95e99fdefe,Manuel,,,,,,Cecilia,FALSE,,2018-10-08T11:36:01.144,FALSE,MULTIPOINT ((12.520869489555508 55.64455974492744))
affaldskurve_puma.56,56,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Grøn plads,Vester Søgade,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,64271e5a-1e30-415b-9525-bfde2ab7b0c8,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T13:58:56.719,FALSE,MULTIPOINT ((12.559231267239777 55.674852971655646))
affaldskurve_puma.57,57,IDrift,Bydækkende drift,,,,,,,,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,273e02a5-457f-477e-984b-a4465c473cc9,Manuel,,,,,,Københavnerkurven,FALSE,,2025-03-12T13:10:21.508,FALSE,MULTIPOINT ((12.773986936198641 55.64266830756222))
affaldskurve_puma.58,58,IDrift,Bydækkende drift,,,,,,,,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,ed719876-8b49-449a-990f-6c863bec8f5b,Manuel,,,,,,Københavnerkurven,FALSE,,2025-03-12T13:10:50.356,FALSE,MULTIPOINT ((12.774949488691114 55.64090173344987))
affaldskurve_puma.59,59,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave (udl.),Gader og pladser,Gade med grønt,Vesterbrogade,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,ac8f2d15-4d70-4d6e-97a0-458cae3a98cf,Manuel,Ekstern2,Terranor,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2019-12-18T03:26:20.874,FALSE,MULTIPOINT ((12.560375154156723 55.67337917198368))
affaldskurve_puma.61,61,IDrift,Bydækkende drift,,,,,,,,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,5eb3a646-5cf9-43b0-9683-2f2809a41e83,Manuel,,,,,,Københavnerkurven,FALSE,,2025-03-12T13:11:39.937,FALSE,MULTIPOINT ((12.774050592195984 55.64018423532806))
affaldskurve_puma.62,62,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave (udl.),Gader og pladser,Øvrig gade,Gade på Vesterbro,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,a13765bd-2596-4604-96eb-b5cc1e194872,Manuel,Ekstern2,Terranor,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),Richard Møller,FALSE,,2018-08-27T13:58:52.207,FALSE,MULTIPOINT ((12.560833137295587 55.67300357387721))
affaldskurve_puma.63,63,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave (udl.),Gader og pladser,Øvrig gade,Gade på Vesterbro,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,1db6b7e9-5f91-46ed-83d1-05ab8ebd9614,Manuel,Ekstern2,Terranor,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),Richard Møller,FALSE,,2018-08-27T13:57:49.955,FALSE,MULTIPOINT ((12.56080628291225 55.67274556234994))
affaldskurve_puma.64,64,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave (udl.),Gader og pladser,Øvrig gade,Gade på Vesterbro,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,ace96e35-e213-4210-8ae9-75b899d31c7e,Manuel,Ekstern2,Terranor,,,,Københavnerkurven,FALSE,,2018-08-27T13:59:26.502,FALSE,MULTIPOINT ((12.560677597172756 55.67315244027521))
affaldskurve_puma.65,65,IDrift,Vestre Kirkegård,Vestre Kirkegård,3035,Vestr_Vestr_3035,Vesterbro-Kgs.Enghave,Kirkegårde,Kirkegårde,Vestre Kirkegård,,Tårnkurv 140L 2020,e011b857-d3ad-449e-b3c7-28ca40580435,d7048d31-ecb2-4b4c-9097-d582715b6b4e,Maskinel,TMF,TMF,,G (2 ugentlige hverdagstømninger),G (2 ugentlige hverdagstømninger),Tårnkurv 140L (2020),FALSE,,2018-08-27T13:58:41.379,FALSE,MULTIPOINT ((12.532995093992305 55.658617646800884))
affaldskurve_puma.66,66,IDrift,Vestre Kirkegård,Vestre Kirkegård,3035,Vestr_Vestr_3035,Vesterbro-Kgs.Enghave,Kirkegårde,Kirkegårde,Vestre Kirkegård,,Tårnkurv 140L 2020,e011b857-d3ad-449e-b3c7-28ca40580435,be252654-84bb-40cb-820b-ff11955c32a5,Maskinel,TMF,TMF,,G (2 ugentlige hverdagstømninger),G (2 ugentlige hverdagstømninger),Tårnkurv 140L (2020),FALSE,,2021-05-14T08:53:21.871,FALSE,MULTIPOINT ((12.53290364425057 55.65851089737929))
affaldskurve_puma.67,67,IDrift,Bydækkende drift,,,,,,,,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,aa74618e-9def-45f6-9f9a-ff086fdbcd6d,Manuel,,,,,,Københavnerkurven,FALSE,,2025-03-12T13:12:12.759,FALSE,MULTIPOINT ((12.774445368526406 55.639136981624354))
affaldskurve_puma.68,68,IDrift,Bydækkende drift,,,,,,,,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,33e40730-d2b5-47df-9d90-7bdb73d276eb,Manuel,,,,,,Københavnerkurven,FALSE,,2025-03-12T13:14:04.029,FALSE,MULTIPOINT ((12.77395909774064 55.641701309952055))
affaldskurve_puma.69,69,IDrift,Vestre Kirkegård,Vestre Kirkegård,3035,Vestr_Vestr_3035,Vesterbro-Kgs.Enghave,Kirkegårde,Kirkegårde,Vestre Kirkegård,,Tårnkurv 140L 2020,e011b857-d3ad-449e-b3c7-28ca40580435,baf14908-ca04-45ed-8925-d1dc6c6bf18c,Maskinel,TMF,TMF,,G (2 ugentlige hverdagstømninger),G (2 ugentlige hverdagstømninger),Tårnkurv 140L (2020),FALSE,,2021-05-14T06:43:14.177,FALSE,MULTIPOINT ((12.53157587122157 55.661586738927795))
affaldskurve_puma.71,71,IDrift,Bydækkende drift,,,,,,,,,12.2.17 Panser 8-kant mini,92ca5389-6118-4125-82b6-0f4c2cad9f96,21d841e6-e229-4b4b-b4f2-f33ad3602b83,Manuel,,,,,,8-kantet Panser,FALSE,,2025-03-12T13:28:05.275,FALSE,MULTIPOINT ((12.773851529799703 55.64284086088644))
affaldskurve_puma.72,72,IDrift,Bydækkende drift,,,,,,,,,12.2.2 Københavnerkurv,f1503e24-e1c1-4182-a028-7a8182a2c721,572b8170-e3c3-4195-b6b4-f47244af8525,Manuel,,,,,,Glat Københavner,FALSE,Glat Københavner,2025-03-12T13:28:21.872,FALSE,MULTIPOINT ((12.776783289768069 55.64266970136275))
affaldskurve_puma.73,73,IDrift,Vestre Kirkegård,Vestre Kirkegård,3035,Vestr_Vestr_3035,Vesterbro-Kgs.Enghave,Kirkegårde,Kirkegårde,Vestre Kirkegård,,Tårnkurv 140L 2020,e011b857-d3ad-449e-b3c7-28ca40580435,71e457b2-d16f-4601-a106-a25eb03754d2,Maskinel,TMF,TMF,,G (2 ugentlige hverdagstømninger),G (2 ugentlige hverdagstømninger),Tårnkurv 140L (2020),FALSE,,2021-05-14T06:42:00.835,FALSE,MULTIPOINT ((12.531645144133664 55.661448559012925))
affaldskurve_puma.74,74,IDrift,Bydækkende drift,,,,,,,,,12.2.1 Andre Typer,785d4c6b-9993-4d51-b81f-15ddff3ef667,29022aac-2136-4963-9ed0-04ff1e57e00b,Manuel,,,,,,Grill Kurv,FALSE,Grillkurv,2025-03-12T13:28:38.945,FALSE,MULTIPOINT ((12.772663661535951 55.638846943815246))
affaldskurve_puma.76,76,IDrift,Vestre Kirkegård,Vestre Kirkegård,3035,Vestr_Vestr_3035,Vesterbro-Kgs.Enghave,Kirkegårde,Kirkegårde,Vestre Kirkegård,,Tårnkurv 140L 2020,e011b857-d3ad-449e-b3c7-28ca40580435,578d226f-2fed-4333-9fe2-8964bdca4e3a,Maskinel,,,,,,Tårnkurv 140L (2020),FALSE,,2024-07-31T08:47:10.345,FALSE,MULTIPOINT ((12.530266054974744 55.6618775494633))
affaldskurve_puma.77,77,IDrift,Bydækkende drift,,,,,,,,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,5b91d89b-f680-47c8-b728-588bbad6f0a3,Manuel,,,,,,Københavnerkurven,FALSE,,2025-03-12T13:28:56.299,FALSE,MULTIPOINT ((12.77557014771181 55.63869003161605))
affaldskurve_puma.78,78,IDrift,Vestre Kirkegård,Vestre Kirkegård,3035,Vestr_Vestr_3035,Vesterbro-Kgs.Enghave,Kirkegårde,Kirkegårde,Vestre Kirkegård,,Tårnkurv 140L 2020,e011b857-d3ad-449e-b3c7-28ca40580435,f04d6ed6-da65-4935-b182-2ad5e43f2a0e,Maskinel,TMF,TMF,,G (2 ugentlige hverdagstømninger),G (2 ugentlige hverdagstømninger),Tårnkurv 140L (2020),FALSE,,2021-05-14T07:48:20.173,FALSE,MULTIPOINT ((12.529842440453665 55.662338350160404))
affaldskurve_puma.79,79,IDrift,Vestre Kirkegård,Vestre Kirkegård,3035,Vestr_Vestr_3035,Vesterbro-Kgs.Enghave,Kirkegårde,Kirkegårde,Vestre Kirkegård,,Tårnkurv 140L 2020,e011b857-d3ad-449e-b3c7-28ca40580435,582ca32c-cc8e-4154-b33c-c7ce726c1032,Maskinel,TMF,TMF,,,,Tårnkurv 140L (2020),FALSE,,2018-08-27T13:57:51.8,FALSE,MULTIPOINT ((12.52791097901915 55.66255407163108))
affaldskurve_puma.80,80,IDrift,Valbyparken,Valbyparken,2370,Valby_Valby_2370,Valby,Parker,Lege- og aktivitetsområde,Valbyparken,,12.2.1 Andre Typer,387ad24d-f7c3-4a2f-8e7e-42f077b941c3,70447b59-c0b1-458e-9b2a-1ee6220dbbe8,Manuel,TMF,TMF,,,,Cecilia,FALSE,,2018-08-27T13:59:30.589,FALSE,MULTIPOINT ((12.520070897265398 55.6445324005869))
affaldskurve_puma.81,81,IDrift,Vestre Kirkegård,Vestre Kirkegård,3035,Vestr_Vestr_3035,Vesterbro-Kgs.Enghave,Kirkegårde,Kirkegårde,Vestre Kirkegård,,Tårnkurv 140L 2020,e011b857-d3ad-449e-b3c7-28ca40580435,e013f4e8-c5bd-4b58-b3cf-6fdf8fe84f18,Maskinel,TMF,TMF,,,,Tårnkurv 140L (2020),FALSE,,2021-05-14T06:53:30.139,FALSE,MULTIPOINT ((12.52522661704011 55.66215135276751))
affaldskurve_puma.82,82,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Gade i Indre By,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,aaaf1642-b8c7-4aee-980c-480150fe376e,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Richard Møller,FALSE,,2018-08-27T13:57:46.774,FALSE,MULTIPOINT ((12.557847220771407 55.67787523570921))
affaldskurve_puma.83,83,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Gade med grønt,Gade i Indre By,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,e0517d1e-40ee-49cb-83ba-92345ac88802,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Richard Møller,FALSE,,2018-08-27T14:00:04.522,FALSE,MULTIPOINT ((12.561461645868668 55.678379155703986))
affaldskurve_puma.84,84,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Gade med grønt,Gade i Indre By,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,d95e38f9-b035-4b44-8a3c-b982b1aff76e,Manuel,,,,,,Københavnerkurven,FALSE,,2022-12-25T12:40:46.31,FALSE,MULTIPOINT ((12.561742053322345 55.68084488658664))
affaldskurve_puma.85,85,IDrift,Sundby Kirkegård,Sundby Kirkegård,3037,Sundb_Sundb_3037,Amager Øst,Kirkegårde,Kirkegårde,Sundby Kirkegård,Sundby Kirkegård,12.2.1 Andre Typer,3dcee324-8c0d-4e5e-8d0d-89c2b3e07008,f8843ee4-ebb6-48e3-8c6a-2b046e3d6ab6,Manuel,TMF,TMF,,,,Affaldskasse,FALSE,,2019-03-11T10:02:48.139,FALSE,MULTIPOINT ((12.61966603426932 55.6564201714622))
affaldskurve_puma.86,86,IDrift,Bydækkende drift,,,,Indre By,Gader og pladser,Øvrig gade,Vester Farimagsgade,,12.2.2 Københavnerkurv,5ec05775-cc06-4dd6-8208-0a6148437eeb,adc9d728-fc76-4c7c-b51f-170b99697ac9,Manuel,TMF,TMF,,E (1 daglig tømning ugens 7 dage),E (1 daglig tømning ugens 7 dage),Københavnerkurven,FALSE,,2018-08-27T13:59:24.054,FALSE,MULTIPOINT ((12.562807415436625 55.67805384338737))
affaldskurve_puma.87,87,IDrift,Bydækkende drift,,,,Vesterbro-Kgs.Enghave (udl.),Gader og pladser,Øvrig gade,Vesterbrogade,,12.2.3 Richard Müller T5,a591f7eb-3cae-4aa3-bedf-a907000222ee,61cd9d3a-d5b2-409a-bd99-361f36190783,Manuel,Ekstern2,Terranor,,F (4 ugentlige tømninger fordelt på 3 hverdage og 1 weekenddag),E (1 daglig tømning ugens 7 dage),Richard Møller,FALSE,,2018-08-27T13:58:59.927,FALSE,MULTIPOINT ((12.549747247813347 55.672514057952974))
